amphuren,amphurth,changwat,lat,long,pop,area,zip,location
Tha Song Yang,ท่าสองยาง,Tak,17.22667,98.22500,61161,31.8,63150,POINT(98.22500 17.22667)
Tha Takiap,ท่าตะเกียบ,Chachoengsao,13.44472,101.61111,42742,40.5,24160,POINT(101.61111 13.44472)
Tha Tako,ท่าตะโก,Nakhon Sawan,15.64167,100.48250,69160,113.9,60160,POINT(100.48250 15.64167)
That Phanom,ธาตุพนม,Nakhon Phanom,16.93639,104.70944,83478,228.3,48110,POINT(104.70944 16.93639)
Tha Tum,ท่าตูม,Surin,15.31833,103.67500,97390,151.4,32120,POINT(103.67500 15.31833)
Tha Uthen,ท่าอุเทน,Nakhon Phanom,17.55694,104.61250,57926,122.7,48120,POINT(104.61250 17.55694)
Tha Wang Pha,ท่าวังผา,Nan,19.11972,100.80972,51518,73,55140,POINT(100.80972 19.11972)
Thawat Buri,ธวัชบุรี,Roi Et,16.03861,103.74694,68431,183.0,45170,POINT(103.74694 16.03861)
Thawi Watthana,ทวีวัฒนา,Krung Thep Maha Nakhon,13.776111,100.320833,61177,1218,10170,POINT(100.320833 13.776111)
Tha Wung,ท่าวุ้ง,Lopburi,14.81500,100.51167,50687,208.8,15150,POINT(100.51167 14.81500)
Tha Yang,ท่ายาง,Phetchaburi,12.97333,99.88778,80794,109.7,76130,POINT(99.88778 12.97333)
Thepha,เทพา,Songkhla,6.82833,100.96500,69278,70.8,90150,POINT(100.96500 6.82833)
Thepharak,เทพารักษ์,Nakhon Ratchasima,15.30944,101.55056,23279,65.1,30210,POINT(101.55056 15.30944)
Thep Sathit,เทพสถิต,Chaiyaphum,15.39167,101.45000,65735,75.1,36230,POINT(101.45000 15.39167)
Thoen,เถิน,Lampang,17.61167,99.21583,61694,38.4,52160,POINT(99.21583 17.61167)
Thoeng,เทิง,Chiang Rai,19.68556,100.19361,84507,102.9,57160,POINT(100.19361 19.68556)
Thon Buri,ธนบุรี,Krung Thep Maha Nakhon,13.72500,100.48583,175768,20555,10600,POINT(100.48583 13.72500)
Thong Pha Phum,ทองผาภูมิ,Kanchanaburi,14.74583,98.62500,62848,17.2,71180,POINT(98.62500 14.74583)
Thong Saen Khan,ทองแสนขัน,Uttaradit,17.47528,100.33361,33042,44.3,53230,POINT(100.33361 17.47528)
Thung Chang,ทุ่งช้าง,Nan,19.38722,100.87583,18296,24,55130,POINT(100.87583 19.38722)
Thung Fon,ทุ่งฝน,Udon Thani,17.47167,103.26000,31029,136.2,41310,POINT(103.26000 17.47167)
Thung Hua Chang,ทุ่งหัวช้าง,Lamphun,18.00306,99.02778,19067,39.2,51160,POINT(99.02778 18.00306)
Thung Khao Luang,ทุ่งเขาหลวง,Roi Et,15.99222,103.85917,24260,174.7,45170,POINT(103.85917 15.99222)
Thung Khru,ทุ่งครุ,Krung Thep Maha Nakhon,13.633308,100.49572,104827,3410,10140,POINT(100.49572 13.633308)
Thung Saliam,ทุ่งเสลี่ยม,Sukhothai,17.32083,99.56083,49962,87.66,64150,POINT(99.56083 17.32083)
Thung Si Udom,ทุ่งศรีอุดม,Ubon Ratchathani,14.73333,104.91000,26986,87.9,34160,POINT(104.91000 14.73333)
Thung Song,ทุ่งสง,Nakhon Si Thammarat,8.16472,99.68083,151563,140.3,80110,POINT(99.68083 8.16472)
Thung Tako,ทุ่งตะโก,Chumphon,10.11028,99.08278,23535,70.3,86220,POINT(99.08278 10.11028)
Thung Wa,ทุ่งหว้า,Satun,7.10917,99.75583,20683,45.75,91120,POINT(99.75583 7.10917)
Thung Yai,ทุ่งใหญ่,Nakhon Si Thammarat,8.29667,99.37500,67202,111.4,80240,POINT(99.37500 8.29667)
Thung Yang Daeng,ทุ่งยางแดง,Pattani,6.61750,101.42583,20203,175.7,94140,POINT(101.42583 6.61750)
Trakan Phuet Phon,ตระการพืชผล,Ubon Ratchathani,15.61222,105.02194,120587,91.7,34130,POINT(105.02194 15.61222)
Mueang Trang,เมืองตรัง,Trang,7.55833,99.61000,147034,268.0,92000,POINT(99.61000 7.55833)
Mueang Trat,เมืองตราด,Trat,12.23167,102.51333,89661,95.5,23000,POINT(102.51333 12.23167)
Tron,ตรอน,Uttaradit,17.48222,100.11306,35036,113.6,53140,POINT(100.11306 17.48222)
Ubolratana,อุบลรัตน์,Khon Kaen,16.75278,102.63278,43362,88.9,40250,POINT(102.63278 16.75278)
Mueang Ubon Ratchathani,เมืองอุบลราชธานี,Ubon Ratchathani,15.22889,104.85417,211855,521.3,34000,POINT(104.85417 15.22889)
Mueang Udon Thani,เมืองอุดรธานี,Udon Thani,17.41500,102.78667,397049,358.5,41000,POINT(102.78667 17.41500)
Umphang,อุ้มผาง,Tak,16.01667,98.86278,25757,6.0,63170,POINT(98.86278 16.01667)
Uthai,อุทัย,Ayutthaya,14.36194,100.67028,39943,213.8,13210,POINT(100.67028 14.36194)
Mueang Uthai Thani,เมืองอุทัยธานี,Uthai Thani,15.37944,100.02472,52591,210.3,61000,POINT(100.02472 15.37944)
U Thong,อู่ทอง,Suphanburi,14.37556,99.89222,111696,1172,72160,POINT(99.89222 14.37556)
Uthumphon Phisai,อุทุมพรพิสัย,Sisaket,15.11167,104.14000,109618,268.7,33120,POINT(104.14000 15.11167)
Mueang Uttaradit,เมืองอุตรดิตถ์,Uttaradit,17.62583,100.09667,151108,200.6,53000,POINT(100.09667 17.62583)
Vibhavadi,วิภาวดี,Surat Thani,9.23889,98.97889,12791,23.4,84180,POINT(98.97889 9.23889)
Wachirabarami,วชิรบารมี,Phichit,16.52500,100.14500,30739,118.5,66140,POINT(100.14500 16.52500)
Waeng,แว้ง,Narathiwat,5.92806,101.88389,47314,136.2,96160,POINT(101.88389 5.92806)
Waeng Noi,แวงน้อย,Khon Kaen,15.80361,102.41583,42408,149.5,40230,POINT(102.41583 15.80361)
Waeng Yai,แวงใหญ่,Khon Kaen,15.95944,102.54778,29424,155.6,40330,POINT(102.54778 15.95944)
Wang Chan,วังจันทร์,Rayong,12.93472,101.52028,24481,61.9,21210,POINT(101.52028 12.93472)
Wang Chao,วังเจ้า,Tak,16.70417,99.24278,29726,90.4,63000,POINT(99.24278 16.70417)
Wang Chin,วังชิ้น,Phrae,17.90000,99.60333,47720,39.2,54160,POINT(99.60333 17.90000)
Wang Hin,วังหิน,Sisaket,14.94833,104.23000,46888,197.3,33270,POINT(104.23000 14.94833)
Wang Muang,วังม่วง,Saraburi,14.84556,101.13444,17536,51.9,18220,POINT(101.13444 14.84556)
Wang Nam Khiao,วังน้ำเขียว,Nakhon Ratchasima,14.41833,101.85000,41485,36.7,30370,POINT(101.85000 14.41833)
Wang Nam Yen,วังน้ำเย็น,Sa Kaeo,13.49972,102.18194,62059,190.9,27210,POINT(102.18194 13.49972)
Wang Noi,วังน้อย,Ayutthaya,14.22667,100.71528,64130,259.3,13170,POINT(100.71528 14.22667)
Wang Nuea,วังเหนือ,Lampang,19.14500,99.62000,44777,43.4,52140,POINT(99.62000 19.14500)
Wang Pong,วังโป่ง,Phetchabun,16.34111,100.79333,38473,70.8,67240,POINT(100.79333 16.34111)
Wang Sai Phun,วังทรายพูน,Phichit,16.38833,100.53833,25541,98.4,66180,POINT(100.53833 16.38833)
Wang Sam Mo,วังสามหมอ,Udon Thani,16.94972,103.42861,55730,76.6,41280,POINT(103.42861 16.94972)
Wang Saphung,วังสะพุง,Loei,17.30167,101.76833,109424,94.6,42130,POINT(101.76833 17.30167)
Wang Sombun,วังสมบูรณ์,Sa Kaeo,13.39694,102.19861,35334,92.1,27250,POINT(102.19861 13.39694)
Wang Thong,วังทอง,Phitsanulok,16.82417,100.42861,119103,71.5,65130,POINT(100.42861 16.82417)
Wang Thonglang,วังทองหลาง,Krung Thep Maha Nakhon,18.694992,98.78977,114940,4.854,10310,POINT(98.78977 18.694992)
Wang Wiset,วังวิเศษ,Trang,7.73500,99.39333,38696,81.1,92220,POINT(99.39333 7.73500)
Wang Yang,วังยาง,Nakhon Phanom,17.05611,104.45528,14440,104.7,48130,POINT(104.45528 17.05611)
Wanon Niwat,วานรนิวาส,Sakon Nakhon,17.63222,103.75194,121097,119.4,47120,POINT(103.75194 17.63222)
Wan Yai,หว้านใหญ่,Mukdahan,16.72750,104.73889,18683,221.2,49150,POINT(104.73889 16.72750)
Wapi Pathum,วาปีปทุม,Maha Sarakham,15.84667,103.38000,114020,188.1,44160,POINT(103.38000 15.84667)
Warin Chamrap,วารินชำราบ,Ubon Ratchathani,15.20250,104.86750,156355,226.3,34190,POINT(104.86750 15.20250)
Waritchaphum,วาริชภูมิ,Sakon Nakhon,17.29333,103.63667,51067,107.3,47150,POINT(103.63667 17.29333)
Wat Bot,วัดโบสถ์,Phitsanulok,16.98028,100.33333,37165,28.0,65160,POINT(100.33333 16.98028)
Wat Phleng,วัดเพลง,Ratchaburi,13.45389,99.88694,12228,322.6,70170,POINT(99.88694 13.45389)
Wat Sing,วัดสิงห์,Chainat,15.25528,100.03806,2632789,83.5,17120,POINT(100.03806 15.25528)
Watthana,วัฒนา,Krung Thep Maha Nakhon,13.74222,100.58583,82582,6.572,10110,POINT(100.58583 13.74222)
Watthana Nakhon,วัฒนานคร,Sa Kaeo,13.74778,102.30750,79856,51.1,27160,POINT(102.30750 13.74778)
Wiang Chai,เวียงชัย,Chiang Rai,19.88306,99.93306,43968,169.9,57210,POINT(99.93306 19.88306)
Wiang Chiang Rung,เวียงเชียงรุ้ง,Chiang Rai,20.01306,100.05694,26531,100.8,57210,POINT(100.05694 20.01306)
Wiang Haeng,เวียงแหง,Chiang Mai,19.55944,98.63556,28876,93.8,50350,POINT(98.63556 19.55944)
Wiang Kaen,เวียงแก่น,Chiang Rai,20.11222,100.51361,32310,61.4,57310,POINT(100.51361 20.11222)
Wiang Kao,เวียงเก่า,Khon Kaen,16.67861,102.29444,19750,69.1,40140,POINT(102.29444 16.67861)
Wiang Nong Long,เวียงหนองล่อง,Lamphun,18.39333,98.71833,18628,377.8,51120,POINT(98.71833 18.39333)
Wiang Pa Pao,เวียงป่าเป้า,Chiang Rai,19.34833,99.50667,68198,56.2,57170,POINT(99.50667 19.34833)
Wiang Sa,เวียงสระ,Nan,18.598333,100.74,70357,37,55110,POINT(100.74 18.598333)
Wiang Sa,เวียงสระ,Surat Thani,8.629722,99.343056,41030,96,84190,POINT(99.343056 8.629722)
Wichian Buri,วิเชียรบุรี,Phetchabun,15.65722,101.10667,129291,79.2,67130,POINT(101.10667 15.65722)
Wihan Daeng,วิหารแดง,Saraburi,14.34639,100.98944,33883,165.7,18150,POINT(100.98944 14.34639)
Wiset Chai Chan,วิเศษชัยชาญ,Ang Thong,14.59444,100.33861,65298,290.6,14110,POINT(100.33861 14.59444)
Yaha,ยะหา,Yala,6.47833,101.13500,51546,103.1,95120,POINT(101.13500 6.47833)
Mueang Yala,เมืองยะลา,Yala,6.54250,101.28306,161194,620.3,95000,POINT(101.28306 6.54250)
Yang Chum Noi,ยางชุมน้อย,Sisaket,15.26167,104.40111,36991,191.2,33180,POINT(104.40111 15.26167)
Yang Sisurat,ยางสีสุราช,Maha Sarakham,15.69000,103.10333,35482,146.3,44210,POINT(103.10333 15.69000)
Yang Talat,ยางตลาด,Kalasin,16.40222,103.37306,129022,207.2,46120,POINT(103.37306 16.40222)
Yan Nawa,ยานนาวา,Krung Thep Maha Nakhon,13.69694,100.54306,88986,5.341,10120,POINT(100.54306 13.69694)
Yan Ta Khao,ย่านตาขาว,Trang,7.38667,99.66667,61416,142.5,92140,POINT(99.66667 7.38667)
Yarang,ยะรัง,Pattani,6.76028,101.29333,83770,455.2,94160,POINT(101.29333 6.76028)
Yaring,ยะหริ่ง,Pattani,6.86639,101.36917,77941,396.0,94150,POINT(101.36917 6.86639)
Mueang Yasothon,เมืองยโสธร,Yasothon,15.79472,104.14056,129999,224.8,35000,POINT(104.14056 15.79472)
Yi-ngo,ยี่งอ,Narathiwat,6.40306,101.70611,40685,202.9,96180,POINT(101.70611 6.40306)
