amphuren,amphurth,changwat,lat,long,pop,area,zip,location
Nong Ruea,หนองเรือ,Khon Kaen,16.49333,102.43333,91956,136.5,40210,POINT(102.43333 16.49333)
Nong Saeng,หนองแสง,Udon Thani,17.1675,102.780556,25802,39.1,41340,POINT(102.780556 17.1675)
Nong Saeng,หนองแสง,Saraburi,14.492222,100.784444,14781,169.7,18170,POINT(100.784444 14.492222)
Nong Song Hong,หนองสองห้อง,Khon Kaen,15.73361,102.79556,78610,152.8,40190,POINT(102.79556 15.73361)
Nong Suea,หนองเสือ,Pathum Thani,14.13500,100.82417,46565,112.6,12170,POINT(100.82417 14.13500)
Nong Sung,หนองสูง,Mukdahan,16.48667,104.34444,20874,50.9,49160,POINT(104.34444 16.48667)
Nong Wua So,หนองวัวซอ,Udon Thani,17.16250,102.57278,61658,87.7,41220,POINT(102.57278 17.16250)
Nong Yai,หนองใหญ่,Chonburi,13.15667,101.36667,21984,55.3,20190,POINT(101.36667 13.15667)
Nong Ya Plong,หนองหญ้าปล้อง,Phetchaburi,13.16306,99.69722,14390,11.5,76160,POINT(99.69722 13.16306)
Nong Ya Sai,หนองหญ้าไซ,Suphanburi,14.77500,99.91111,49894,118.7,72240,POINT(99.91111 14.77500)
Non Khun,โนนคูน,Sisaket,14.92833,104.69000,37865,218.5,33250,POINT(104.69000 14.92833)
Non Narai,โนนนารายณ์,Surin,15.23833,103.91306,35394,177.7,32130,POINT(103.91306 15.23833)
Non Sa-at,โนนสะอาด,Udon Thani,16.97833,102.89333,48459,114.0,41240,POINT(102.89333 16.97833)
Non Sang,โนนสัง,Nongbua Lamphu,16.86556,102.57222,64172,111.1,39140,POINT(102.57222 16.86556)
Non Sila,โนนศิลา,Khon Kaen,15.97389,102.66917,25987,142.3,40110,POINT(102.66917 15.97389)
Non Sung,โนนสูง,Nakhon Ratchasima,15.18000,102.25694,130064,192.1,30160,POINT(102.25694 15.18000)
Non Suwan,โนนสุวรรณ,Buriram,14.57833,102.59833,23170,122.3,31110,POINT(102.59833 14.57833)
Mueang Nonthaburi,เมืองนนทบุรี,Nonthaburi,13.86222,100.51333,353923,4591.33,11000,POINT(100.51333 13.86222)
Non Thai,โนนไทย,Nakhon Ratchasima,15.19833,102.06944,74911,138.2,30220,POINT(102.06944 15.19833)
Nopphitam,นบพิตำ,Nakhon Si Thammarat,8.71944,99.75167,29670,41.2,80160,POINT(99.75167 8.71944)
Nuea Khlong,เหนือคลอง,Krabi,8.07472,99.00361,54789,132.1,81130,POINT(99.00361 8.07472)
Omkoi,อมก๋อย,Chiang Mai,17.80111,98.35861,54568,26.1,50310,POINT(98.35861 17.80111)
Ongkharak,องครักษ์,Nakhon Nayok,14.12139,101.00389,58294,119.8,26120,POINT(101.00389 14.12139)
Pa Bon,ป่าบอน,Phatthalung,7.27000,100.17000,43981,115.5,93170,POINT(100.17000 7.27000)
Pa Daet,ป่าแดด,Chiang Rai,19.50417,99.99306,26628,79.9,57190,POINT(99.99306 19.50417)
Pai,ปาย,Mae Hong Son,19.35861,98.44000,29526,13.2,58130,POINT(98.44000 19.35861)
Pak Chom,ปากชม,Loei,18.02167,101.88833,37934,39.6,42150,POINT(101.88833 18.02167)
Pak Chong,ปากช่อง,Nakhon Ratchasima,14.71250,101.42194,182588,100.0,30130,POINT(101.42194 14.71250)
Pakham,ปะคำ,Buriram,14.43833,102.72556,43446,146.8,31220,POINT(102.72556 14.43833)
Pak Khat,ปากคาด,Bueng Kan,18.29833,103.30667,33973,151.5,38190,POINT(103.30667 18.29833)
Pak Kret,ปากเกร็ด,Nonthaburi,13.91250,100.49833,201399,2296.6,11120,POINT(100.49833 13.91250)
Pak Phanang,ปากพนัง,Nakhon Si Thammarat,8.35833,100.20667,107505,254.4,80140,POINT(100.20667 8.35833)
Pak Phayun,ปากพะยูน,Phatthalung,7.34167,100.31667,50052,115.3,93120,POINT(100.31667 7.34167)
Pak Phli,ปากพลี,Nakhon Nayok,14.16333,101.26861,24411,47.0,26130,POINT(101.26861 14.16333)
Pak Tho,ปากท่อ,Ratchaburi,13.36778,99.83056,64917,79.2,70140,POINT(99.83056 13.36778)
Pak Thong Chai,ปักธงชัย,Nakhon Ratchasima,14.71972,102.02139,115244,83.9,30150,POINT(102.02139 14.71972)
Palian,ปะเหลียน,Trang,7.17167,99.68667,62914,64.7,92120,POINT(99.68667 7.17167)
Pa Mok,ป่าโมก,Ang Thong,14.49000,100.44806,28140,348.0,14130,POINT(100.44806 14.49000)
Panare,ปะนาเระ,Pattani,6.86000,101.49139,43131,299.0,94130,POINT(101.49139 6.86000)
Pang Mapha,ปางมะผ้า,Mae Hong Son,19.52250,98.24611,19708,24.7,58150,POINT(98.24611 19.52250)
Pang Sila Thong,ปางศิลาทอง,Kamphaeng Phet,16.09667,99.49000,30591,63.7,62120,POINT(99.49000 16.09667)
Pa Phayom,ป่าพะยอม,Phatthalung,7.84000,99.91833,32280,83.5,93110,POINT(99.91833 7.84000)
Pa Sang,ป่าซาง,Lamphun,18.52583,98.93917,58641,195.5,51120,POINT(98.93917 18.52583)
Pathio,ปะทิว,Chumphon,10.70917,99.31833,44393,74.5,86160,POINT(99.31833 10.70917)
Pathum Rat,ปทุมรัตต์,Roi Et,15.63500,103.34333,52744,147.8,45190,POINT(103.34333 15.63500)
Pathum Ratchawongsa,ปทุมราชวงศา,Amnat Charoen,15.89222,104.90583,46100,88.5,37110,POINT(104.90583 15.89222)
Mueang Pathum Thani,เมืองปทุมธานี,Pathum Thani,14.01972,100.53500,154412,1285,12000,POINT(100.53500 14.01972)
Pathum Wan,ปทุมวัน,Krung Thep Maha Nakhon,13.73667,100.52333,97533,11654,10330,POINT(100.52333 13.73667)
Pa Tio,ป่าติ้ว,Yasothon,15.83139,104.38556,35398,114.9,35150,POINT(104.38556 15.83139)
Mueang Pattani,เมืองปัตตานี,Pattani,6.86861,101.25000,118302,1221.3,94000,POINT(101.25000 6.86861)
Phachi,ภาชี,Ayutthaya,14.44917,100.72833,30481,291.7,13140,POINT(100.72833 14.44917)
Phaisali,ไพศาลี,Nakhon Sawan,15.59750,100.65806,70799,72.3,60220,POINT(100.65806 15.59750)
Phakdi Chumphon,ภักดีชุมพล,Chaiyaphum,15.90500,101.42167,28111,31.2,36260,POINT(101.42167 15.90500)
Phak Hai,ผักไห่,Ayutthaya,14.45833,100.37000,44436,235.1,13120,POINT(100.37000 14.45833)
Pha Khao,ผาขาว,Loei,17.06667,102.02667,40047,86.5,42240,POINT(102.02667 17.06667)
Phan,พาน,Chiang Rai,19.55389,99.74056,128143,125.3,57120,POINT(99.74056 19.55389)
Phana,พนา,Amnat Charoen,15.68333,104.84667,28001,216.2,37180,POINT(104.84667 15.68333)
Phanat Nikhom,พนัสนิคม,Chonburi,13.45222,101.17722,116439,258.2,20140,POINT(101.17722 13.45222)
Phang Khon,พังโคน,Sakon Nakhon,17.39250,103.70944,52031,135.6,47160,POINT(103.70944 17.39250)
Phanna Nikhom,พรรณนานิคม,Sakon Nakhon,17.35167,103.84667,79507,118.0,47130,POINT(103.84667 17.35167)
Phanom,พนม,Surat Thani,8.85500,98.81333,33513,47.4,84250,POINT(98.81333 8.85500)
Phanom Dong Rak,พนมดงรัก,Surin,14.44556,103.30444,35968,107.4,32140,POINT(103.30444 14.44556)
Phanom Phrai,พนมไพร,Roi Et,15.67833,104.11000,75140,144.7,45140,POINT(104.11000 15.67833)
Phanom Sarakham,พนมสารคาม,Chachoengsao,13.74472,101.34722,79899,142.0,24120,POINT(101.34722 13.74472)
Phanom Thuan,พนมทวน,Kanchanaburi,14.13028,99.69889,51979,97.0,71140,POINT(99.69889 14.13028)
Phan Thong,พานทอง,Chonburi,13.47056,101.09694,44859,259.3,20160,POINT(101.09694 13.47056)
Phasi Charoen,ภาษีเจริญ,Krung Thep Maha Nakhon,13.71472,100.43722,137473,7708,10160,POINT(100.43722 13.71472)
Phato,พะโต๊ะ,Chumphon,9.79167,98.77667,22633,23.9,86180,POINT(98.77667 9.79167)
Mueang Phatthalung,เมืองพัทลุง,Phatthalung,7.61833,100.07333,119680,280.0,93000,POINT(100.07333 7.61833)
Phatthana Nikhom,พัฒนานิคม,Lopburi,14.85583,100.99000,61306,118.6,15140,POINT(100.99000 14.85583)
Phayakkhaphum Phisai,พยัคฆภูมิพิสัย,Maha Sarakham,15.51639,103.19361,88124,214.5,44110,POINT(103.19361 15.51639)
Phaya Mengrai,พญาเม็งราย,Chiang Rai,19.84889,100.15361,41972,67.7,57290,POINT(100.15361 19.84889)
Mueang Phayao,เมืองพะเยา,Phayao,19.19194,99.87861,125818,143.8,56000,POINT(99.87861 19.19194)
Phaya Thai,พญาไท,Krung Thep Maha Nakhon,13.78000,100.54278,90557,9.438,10400,POINT(100.54278 13.78000)
Phayu,พยุห์,Sisaket,14.90333,104.39167,36325,161.1,33230,POINT(104.39167 14.90333)
Phayuha Khiri,พยุหะคีรี,Nakhon Sawan,15.48722,100.14000,62508,84.7,60130,POINT(100.14000 15.48722)
Phen,เพ็ญ,Udon Thani,17.69528,102.90722,110190,121.3,41150,POINT(102.90722 17.69528)
Phetchabun,เมืองเพชรบูรณ์,Phetchabun,16.44306,101.14917,211227,92.6,67000,POINT(101.14917 16.44306)
Mueang Phetchaburi,เมืองเพชรบุรี,Phetchaburi,13.11194,99.94389,115000,405.1,76000,POINT(99.94389 13.11194)
Phibun Mangsahan,พิบูลมังสาหาร,Ubon Ratchathani,15.24444,105.22889,127357,99.5,34110,POINT(105.22889 15.24444)
